Date,Open,High,Low,Close,Adj Close,Volume
2008-10-13,3.733929,3.947500,3.607857,3.937857,3.381108,1539076000
2008-10-14,4.152143,4.157143,3.683571,3.717143,3.191601,1980994400
2008-10-15,3.708571,3.821429,3.496071,3.498214,3.003624,1584175600
2008-10-16,3.563214,3.693929,3.276429,3.638929,3.124444,1980521200
2008-10-17,3.557143,3.644286,3.067500,3.478571,2.986759,1762227600
2008-10-20,3.563571,3.572500,3.344286,3.515714,3.018650,1549170000
2008-10-21,3.462500,3.496429,3.255714,3.267500,2.805529,2193660000
2008-10-22,3.477500,3.616071,3.318929,3.459643,2.970506,2248808800
2008-10-23,3.446786,3.544643,3.282143,3.508214,3.012210,1675430400
2008-10-24,3.226071,3.496429,3.218214,3.442143,2.955481,1590058400
2008-10-27,3.395357,3.486786,3.280714,3.288929,2.823928,1208771200
2008-10-28,3.408214,3.589286,3.298929,3.568214,3.063728,1634133200
2008-10-29,3.602143,3.912143,3.569286,3.733929,3.206012,1950978400
2008-10-30,3.865357,4.006786,3.843214,3.965714,3.405026,1638089600
2008-10-31,3.835714,3.956429,3.755000,3.842500,3.299234,1659756000
2008-11-03,3.783214,3.896429,3.745000,3.820000,3.279915,1057938000
2008-11-04,3.928214,3.992500,3.809643,3.963929,3.403495,1398681200
2008-11-05,3.889643,3.918571,3.678214,3.689286,3.167682,1256455200
2008-11-06,3.608929,3.670714,3.500000,3.539286,3.038889,1319074400
2008-11-07,3.544286,3.566071,3.418571,3.508571,3.012516,1095253600
2008-11-10,3.577500,3.585714,3.375000,3.424286,2.940148,1123822000
2008-11-11,3.386071,3.470357,3.295000,3.384643,2.906110,1224538000
2008-11-12,3.301071,3.330000,3.214643,3.218571,2.763518,1178976400
2008-11-13,3.209643,3.444286,3.072143,3.444286,2.957320,1854087200
2008-11-14,3.348571,3.356786,3.214286,3.222857,2.767198,1405266800
2008-11-17,3.160000,3.233929,3.116429,3.147857,2.702802,1162526400
2008-11-18,3.201429,3.249643,3.102143,3.211071,2.757078,1209695200
2008-11-19,3.194286,3.270714,3.078929,3.081786,2.646072,1171900800
2008-11-20,3.044286,3.087500,2.857143,2.874643,2.468216,1716814400
2008-11-21,2.926071,3.004286,2.826429,2.949286,2.532305,1569271200
2008-11-24,3.043214,3.385357,3.030000,3.319643,2.850300,1442257600
2008-11-25,3.379643,3.382500,3.148571,3.242857,2.784370,1235292800
2008-11-26,3.211429,3.401786,3.208929,3.392857,2.913162,899836000
2008-11-28,3.382143,3.384286,3.280714,3.309643,2.841714,297774400
2008-12-01,3.260714,3.295357,3.175714,3.176071,2.727027,923767600
2008-12-02,3.215357,3.308929,3.089286,3.302500,2.835581,1148722400
